cname,sname,cont,body,fwater,imgurl
Arawana,Osteoglossum bicirrhosum,2 3 5 6,1,y,https://www.igfa.org/Images/SpeciesID_Images/arawana.png
Barbel,Barbus barbus,4,3,y,https://www.igfa.org/Images/SpeciesID_Images/BWBarbel.png
"Barracuda, Great",Sphyraena barracuda,1 2 3 4 5 6,3,n,https://www.igfa.org/Images/SpeciesID_Images/barracuda_great.png
"Barracuda, Guinean",Sphyraena afra,3,3,n,"https://www.igfa.org/Images/SpeciesID_Images/BWBarracuda,%20Guinean.png"
"Barracuda, Pacific",Sphyraena argentea,1 2,3,n,https://www.igfa.org/Images/SpeciesID_Images/BWBarracuda_Pac.png
Barramundi,Lates calcarifer,5 6,2,n,https://www.igfa.org/Images/SpeciesID_Images/barramundi.png
"Bass, Australian",Macquaria novemaculeata,6,2,b,"https://www.igfa.org/Images/SpeciesID_Images/BWBass,%20Australian.png"
"Bass, Black Sea",Centropristis striata,1 ,2,n,https://www.igfa.org/Images/SpeciesID_Images/bass_black_sea.png
"Bass, European",Dicentrarchus labrax,3 4,3,n,https://www.igfa.org/Images/SpeciesID_Images/bass_european.png
"Bass, Giant Sea",Stereolepis gigas,1 5,2,n,https://www.igfa.org/Images/SpeciesID_Images/bass_giant_sea.png
"Bass, Kelp (Calico)",Paralabrax clathratus,1,2,n,https://www.igfa.org/Images/SpeciesID_Images/bass_kelp.png
"Bass, Largemouth",Micropterus salmoides,1 2,2,y,https://www.igfa.org/Images/SpeciesID_Images/bass_largemouth.png
"Bass, Rock",Ambloplites rupestris,1,2,y,https://www.igfa.org/Images/SpeciesID_Images/bass_rock.png
"Bass, Shoal",Micropterus cataractae,1,2,y,"https://www.igfa.org/Images/SpeciesID_Images/BWBass,%20shoal.png"
"Bass, Smallmouth",Micropterus dolomieu,1,2,y,https://www.igfa.org/Images/SpeciesID_Images/bass_smallmouth.png
"Bass, Spotted",Micropterus punctulatus,1,3,b,https://www.igfa.org/Images/SpeciesID_Images/bass_spotted.png
"Bass, Striped",Morone saxatilis,1,3,n,https://www.igfa.org/Images/SpeciesID_Images/bass_striped.png
"Bass, White",Morone chrysops,1,2,y,https://www.igfa.org/Images/SpeciesID_Images/bass_white.png
"Bass, Whiterock",Morone saxatilis x M. chrysops,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/bass_whiterock.png
"Bass, Yellow",Morone mississippiensis,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/bass_yellow.png
Bluefish,Pomatomus saltatrix,1 2 3 4 5 6,3,n,https://www.igfa.org/Images/SpeciesID_Images/bluefish.png
Bluegill,Lepomis macrochirus,1 3 4,2,y,https://www.igfa.org/Images/SpeciesID_Images/bluegill.png
Bonefish,Albula spp.,1 2 3 4 5 6,3,n,https://www.igfa.org/Images/SpeciesID_Images/bonefish.png
"Bonito, Atlantic",Sarda sarda,1 2 3 4,3,n,https://www.igfa.org/Images/SpeciesID_Images/BWBonito_Atl.png
"Bonito, Pacific",Sarda spp.,1 2,3,n,https://www.igfa.org/Images/SpeciesID_Images/bonito_pacific.png
Bowfin,Amia calva,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/bowfin.png
"Buffalo, Bigmouth",Ictiobus cyprinellus,1,2,y,https://www.igfa.org/Images/SpeciesID_Images/buffalo_bigmouth.png
"Buffalo, Smallmouth",Ictiobus bubalus,1,2,y,https://www.igfa.org/Images/SpeciesID_Images/buffalo_smallmouth.png
"Bullhead, Black",Ameiurus melas,1,2,y,https://www.igfa.org/Images/SpeciesID_Images/bullhead_black.png
"Bullhead, Brown",Ameiurus nebulosus,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/bullhead_brown.png
"Bullhead, Yellow",Ameiurus natalis,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/bullhead_yellow.png
Burbot,Lota lota,1 3 4 5,3,n,https://www.igfa.org/Images/SpeciesID_Images/burbot.png
Buri (Japanese Amberjack),Seriola quinqueradiata,1 5,3,n,https://www.igfa.org/Images/SpeciesID_Images/BWBuri.png
"Carp, Common",Cyprinus carpio,1 2 3 4 5 6,2,b,"https://www.igfa.org/Images/SpeciesID_Images/BWCarp,%20common.png"
"Carp, Grass",Ctenopharyngodon idella,1 3 4 5,3,y,"https://www.igfa.org/Images/SpeciesID_Images/BWCarp,%20grass.png"
"Catfish, Blue",Ictalurus furcatus,1 2,3,y,https://www.igfa.org/Images/SpeciesID_Images/catfish_blue.png
"Catfish, Channel",Ictalurus punctatus,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/catfish_channel.png
"Catfish, Flathead",Pylodictis olivaris,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/catfish_flathead.png
"Catfish, Redtail (Pirarara)",Phractocephalus hemioliopterus,2,1,y,"https://www.igfa.org/Images/SpeciesID_Images/BWCatfish,%20redtail.png"
"Catfish, Sharptooth",Clarias gariepinus,3 4 5,3,b,"https://www.igfa.org/Images/SpeciesID_Images/BWCatfish,%20sharptooth.png"
"Catfish, White",Ameiurus catus,1,3,n,https://www.igfa.org/Images/SpeciesID_Images/catfish_white.png
"Char, Arctic",Salvelinus alpinus,1 4 5,3,y,https://www.igfa.org/Images/SpeciesID_Images/char_arctic.png
Cobia,Rachycentron canadum,1 2 3 4 5 6,3,n,https://www.igfa.org/Images/SpeciesID_Images/cobia.png
"Cod, Atlantic",Gadus morhua,1 4,3,n,https://www.igfa.org/Images/SpeciesID_Images/cod_atlantic.png
"Cod, Pacific",Gadus macrocephalus,1 5,3,n,https://www.igfa.org/Images/SpeciesID_Images/cod_pacific.png
Conger,Conger conger,3 4,1,n,https://www.igfa.org/Images/SpeciesID_Images/conger.png
"Corbina, California",Menticirrhus undulatus,1 2,3,n,"https://www.igfa.org/Images/SpeciesID_Images/BWCorbina,%20california.png"
"Crappie, Black",Pomoxis nigromaculatus,1,2,y,https://www.igfa.org/Images/SpeciesID_Images/crappie_black.png
